query,service_id,service,codes,hospital,ccn,verdict,lines,headline_description,headline_context,cash,gross,min,max,ref,file_date,url,alias_means_this_service,headline_is_this_service,billing_class_if_known,note,reviewer,date
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Texas Childrens Hospital,453304,comparable,2,"TC MRI, EXTREMITY ANY JOINT, LOWER EXTREMITY W/O CONTR","outpatient, facility",3174.46,4738,208.84,4501.1,row 28173,2026-03-05,https://www.texaschildrens.org/sites/tc/files/uploads/documents/741100555_texas-childrens-hospital_standardcharges.zip,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Baylor St Lukes Medical Center,450193,unknown: no billing class stated,2,HC MR LOWER EXTREM JNT WO CONT,outpatient,2725.8,7788,174.32,7788,item 9144/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Houston Methodist Hospital,450358,comparable,2,HC MRI LOWER EXT JOINT W/O CONTRA,"both, facility",1230,2460,,,item 13569/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Harris Health,450289,unknown: no billing class stated,1,MRI LOWER EXTREMITY JOINT W/O CONTRAST,both,231.94,3821,208.84,2483.65,row 33175,3/24/2026,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/2026/741536936_Harris-Health-Ben-Taub-Hospital_StandardCharges.zip,yes,yes,,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Houston Methodist The Woodlands Hospital,670122,comparable,2,HC MRI LOWER EXT JOINT W/O CONTRA,"both, facility",1243.5,2487,,,item 13552/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/760545192_houston-methodist-the-woodlands-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,CHI St Lukes Lakeside Hospital,670059,unknown: no billing class stated,2,HC MR LOWER EXTREM JNT WO CONT,outpatient,2725.8,7788,174.32,7788,item 9186/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,St Luke's The Woodlands Hospital,450862,unknown: no billing class stated,2,HC MR LOWER EXTREM JNT WO CONT,outpatient,2725.8,7788,174.32,7788,item 9186/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/760536234-1942208616_st-lukes-community-health-services-st-lukes-the-woodlands-hospital_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Woodland Springs,454144,not found,0,,,,,,,,7/31/2026,https://www.woodlandspringshealth.com/docs/bhwoodlandspringslibraries/3q26/352565165_woodland-springs_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Elite Hospital Kingwood,670285,unknown: no billing class stated,1,Magnetic resonance (eg proton) imaging any joint of lower extremity; without contrast material,both,2735.8,5471.59,431.06,574.74,row 1570,6/1/2026,https://elitekingwood.com/823349983_Elite-Hospital-Kingwood_Standard-Charges.csv,yes,yes,,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,Kingwood Pines Hospital,454103,not found,0,,,,,,,,2026-08-31,https://uhsfilecdn.eskycity.net/bh/731726290_kingwood-pines_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
knee mri,cpt-73721,MRI scan of leg joint,CPT 73721,HCA Houston Healthcare Kingwood,450775,modifier-specific lines only,48,,,,,,,,2026-05-14,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1619857_HCA-HOUSTON-HEALTHCARE-KINGWOOD_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Texas Childrens Hospital,453304,not found,0,,,,,,,,2026-03-05,https://www.texaschildrens.org/sites/tc/files/uploads/documents/741100555_texas-childrens-hospital_standardcharges.zip,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Baylor St Lukes Medical Center,450193,"negotiated rates only, no cash or gross price",1,,,,,,,,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Houston Methodist Hospital,450358,comparable,2,HC COLON DIAGNOSTIC W/BRUSH OR WASH WHEN PFRMD,"both, facility",519,1038,,,item 12398/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Harris Health,450289,unknown: no billing class stated,6,"ECHG GI PROC COLONOSCOPY, FLEX ; DX",both,1835.24,3880,1940,1940,row 32341,3/24/2026,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/2026/741536936_Harris-Health-Ben-Taub-Hospital_StandardCharges.zip,yes,yes,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Houston Methodist The Woodlands Hospital,670122,comparable,2,HC COLON DIAGNOSTIC W/BRUSH OR WASH WHEN PFRMD,"both, facility",866,1732,,,item 12425/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/760545192_houston-methodist-the-woodlands-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,CHI St Lukes Lakeside Hospital,670059,"negotiated rates only, no cash or gross price",1,,,,,,,,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,St Luke's The Woodlands Hospital,450862,"negotiated rates only, no cash or gross price",1,,,,,,,,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/760536234-1942208616_st-lukes-community-health-services-st-lukes-the-woodlands-hospital_standardcharges.json,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Woodland Springs,454144,not found,0,,,,,,,,7/31/2026,https://www.woodlandspringshealth.com/docs/bhwoodlandspringslibraries/3q26/352565165_woodland-springs_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Elite Hospital Kingwood,670285,not found,0,,,,,,,,6/1/2026,https://elitekingwood.com/823349983_Elite-Hospital-Kingwood_Standard-Charges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,Kingwood Pines Hospital,454103,not found,0,,,,,,,,2026-08-31,https://uhsfilecdn.eskycity.net/bh/731726290_kingwood-pines_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
colonoscopy,cpt-45378,Diagnostic examination of large bowel using an endoscope,CPT 45378,HCA Houston Healthcare Kingwood,450775,"negotiated rates only, no cash or gross price",20,,,,,,,,2026-05-14,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1619857_HCA-HOUSTON-HEALTHCARE-KINGWOOD_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,yes,,,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Texas Childrens Hospital,453304,comparable,2,"TC CT, BRAIN WITHOUT CONTRAST","outpatient, facility",2278.67,3401,104.75,3230.95,row 26951,2026-03-05,https://www.texaschildrens.org/sites/tc/files/uploads/documents/741100555_texas-childrens-hospital_standardcharges.zip,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Baylor St Lukes Medical Center,450193,unknown: no billing class stated,2,HC CT BRAIN,outpatient,2399.25,6855,76.69,6855,item 8783/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/bslmc/soho/finance/price-transparency/741161938-1184622847_chi-st-lukes-health-baylor-college-of-medicine-medical-center_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Houston Methodist Hospital,450358,comparable,2,HC CT HEAD/BRAIN SCAN WO CONTRA,"both, facility",1120,2240,,,item 11945/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/74110155_the-methodist-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Harris Health,450289,unknown: no billing class stated,2,CT HEAD W/O CONTRAST (MOD CT � MCARE ONLY),both,102.04,2320,104.75,1508,row 34428,3/24/2026,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/2026/741536936_Harris-Health-Ben-Taub-Hospital_StandardCharges.zip,yes,yes,,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Houston Methodist The Woodlands Hospital,670122,comparable,2,HC CT HEAD/BRAIN SCAN WO CONTRA,"both, facility",1120,2240,,,item 11959/charge 1,2026-04-01,https://www.houstonmethodist.org/-/media/files/patient-resources/760545192_houston-methodist-the-woodlands-hospital_standardcharges.ashx,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,CHI St Lukes Lakeside Hospital,670059,unknown: no billing class stated,2,HC CT BRAIN,outpatient,2399.25,6855,76.69,6855,item 8825/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,St Luke's The Woodlands Hospital,450862,unknown: no billing class stated,2,HC CT BRAIN,outpatient,2399.25,6855,76.69,6855,item 8825/charge 1,2026-02-28,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/760536234-1942208616_st-lukes-community-health-services-st-lukes-the-woodlands-hospital_standardcharges.json,yes,yes,facility,,Alex Spiliotopoulos,2026-09-19
head ct,cpt-70450,"CT scan, head or brain, without contrast",CPT 70450,Woodland Springs,454144,not found,0,,,,,,,,7/31/2026,https://www.woodlandspringshealth.com/docs/bhwoodlandspringslibraries/3q26/352565165_woodland-springs_standardcharges.csv,yes,,,,Alex Spiliotopoulos,2026-09-19
